input_len,n_hidden,network,learning_rate,epochs,sigma,noise_type,mse_error
1,5,mlp,0.001,10,0,iid,0.02170937024355292
1,5,mlp,0.001,10,0,wiener,0.16128586950131507
1,5,mlp,0.001,10,0.01,iid,0.19195874552451503
1,5,mlp,0.001,10,0.01,wiener,0.6792051189043733
1,5,mlp,0.001,10,0.1,iid,0.04078239754141778
1,5,mlp,0.001,10,0.1,wiener,5.884205496702429
1,5,mlp,0.001,100,0,iid,2.0158060361899922e-05
1,5,mlp,0.001,100,0,wiener,0.0001725023610714335
1,5,mlp,0.001,100,0.01,iid,0.003933342707140193
1,5,mlp,0.001,100,0.01,wiener,0.003387940937975266
1,5,mlp,0.001,100,0.1,iid,0.01960995574747833
1,5,mlp,0.001,100,0.1,wiener,0.8506436372054559
1,5,mlp,0.001,500,0,iid,2.0379207177481787e-05
1,5,mlp,0.001,500,0,wiener,2.0627747199249272e-05
1,5,mlp,0.001,500,0.01,iid,0.0002281037710993565
1,5,mlp,0.001,500,0.01,wiener,0.004632919873545501
1,5,mlp,0.001,500,0.1,iid,0.01792807876781595
1,5,mlp,0.001,500,0.1,wiener,21.494760820907317
1,5,mlp,0.01,10,0,iid,0.002141051442574505
1,5,mlp,0.01,10,0,wiener,0.00011345663857174894
1,5,mlp,0.01,10,0.01,iid,0.000518457774150466
1,5,mlp,0.01,10,0.01,wiener,0.00035937519356884194
1,5,mlp,0.01,10,0.1,iid,0.02071598827408329
1,5,mlp,0.01,10,0.1,wiener,10.005146626770971
1,5,mlp,0.01,100,0,iid,2.4120574311724482e-05
1,5,mlp,0.01,100,0,wiener,2.0215890264555518e-05
1,5,mlp,0.01,100,0.01,iid,0.00026911042445079204
1,5,mlp,0.01,100,0.01,wiener,0.000133154709173695
1,5,mlp,0.01,100,0.1,iid,0.01773880636363409
1,5,mlp,0.01,100,0.1,wiener,0.010934211208961023
1,5,mlp,0.01,500,0,iid,7.989569427751235e-05
1,5,mlp,0.01,500,0,wiener,2.614826540926425e-05
1,5,mlp,0.01,500,0.01,iid,0.00025583485875488044
1,5,mlp,0.01,500,0.01,wiener,0.00012343408794120037
1,5,mlp,0.01,500,0.1,iid,0.018804838990877468
1,5,mlp,0.01,500,0.1,wiener,0.009804461666200005
1,5,mlp,0.1,10,0,iid,4.484262796609015e-05
1,5,mlp,0.1,10,0,wiener,2.047144818404198e-05
1,5,mlp,0.1,10,0.01,iid,0.0005164919657740201
1,5,mlp,0.1,10,0.01,wiener,0.0015542496154699469
1,5,mlp,0.1,10,0.1,iid,0.01837777623455526
1,5,mlp,0.1,10,0.1,wiener,0.08544974774633003
1,5,mlp,0.1,100,0,iid,0.00011314550532416058
1,5,mlp,0.1,100,0,wiener,3.7188394734020166e-05
1,5,mlp,0.1,100,0.01,iid,0.0002238463754087656
1,5,mlp,0.1,100,0.01,wiener,0.0007806109614610784
1,5,mlp,0.1,100,0.1,iid,0.024070411607026086
1,5,mlp,0.1,100,0.1,wiener,0.031137386083599287
1,5,mlp,0.1,500,0,iid,0.00016827712764446736
1,5,mlp,0.1,500,0,wiener,0.0008188571116187279
1,5,mlp,0.1,500,0.01,iid,0.5051094728491812
1,5,mlp,0.1,500,0.01,wiener,0.00030039143056172907
1,5,mlp,0.1,500,0.1,iid,0.01757782581079118
1,5,mlp,0.1,500,0.1,wiener,0.09925562522888617
1,5,lstm,0.001,10,0,iid,0.37592425780853045
1,5,lstm,0.001,10,0,wiener,0.057629892581630884
1,5,lstm,0.001,10,0.01,iid,0.08560851880029324
1,5,lstm,0.001,10,0.01,wiener,0.12336926252231141
1,5,lstm,0.001,10,0.1,iid,0.19681770847720506
1,5,lstm,0.001,10,0.1,wiener,57.94509576957607
1,5,lstm,0.001,100,0,iid,0.0003423457693111773
1,5,lstm,0.001,100,0,wiener,0.0003697059724676545
1,5,lstm,0.001,100,0.01,iid,0.000814899817447425
1,5,lstm,0.001,100,0.01,wiener,0.04757468699259684
1,5,lstm,0.001,100,0.1,iid,0.019117002008673313
1,5,lstm,0.001,100,0.1,wiener,1.3271522122685833
1,5,lstm,0.001,500,0,iid,2.067802671994533e-05
1,5,lstm,0.001,500,0,wiener,2.0388012945576203e-05
1,5,lstm,0.001,500,0.01,iid,0.0002333422467286719
1,5,lstm,0.001,500,0.01,wiener,0.0002863857282560721
1,5,lstm,0.001,500,0.1,iid,0.017981912312718056
1,5,lstm,0.001,500,0.1,wiener,0.9753658983915872
1,5,lstm,0.01,10,0,iid,0.0017051835959550183
1,5,lstm,0.01,10,0,wiener,0.0018440620419422082
1,5,lstm,0.01,10,0.01,iid,0.0007993365179656468
